CustomerID,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,tenure_bin,monthly_bin,cltv_bin
0278-YXOOG,Inglewood,Male,0,0,0,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,66,2604,Network reliability,0-6,"(18.249, 35.588]","(2002.999, 3178.2]"
4598-XLKNJ,Inglewood,Female,1,1,1,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,88,5337,Limited range of services,25-48,"(89.862, 118.75]","(4882.6, 5540.8]"
3192-NQECA,Santa Monica,Male,0,1,0,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,49+,"(89.862, 118.75]","(4882.6, 5540.8]"
0486-HECZI,Torrance,Male,0,1,1,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,49+,"(89.862, 118.75]","(4882.6, 5540.8]"
4846-WHAFZ,Whittier,Female,1,1,1,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,25-48,"(70.35, 89.862]","(2002.999, 3178.2]"
5299-RULOA,Whittier,Female,0,1,1,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,7-12,"(89.862, 118.75]","(5540.8, 6500.0]"
0404-SWRVG,La Habra,Male,0,0,1,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,0-6,"(70.35, 89.862]","(4195.4, 4882.6]"
4412-YLTKF,Pico Rivera,Female,1,0,1,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,25-48,"(70.35, 89.862]","(4195.4, 4882.6]"
6207-WIOLX,Avalon,Female,0,1,0,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,25-48,"(35.588, 70.35]","(3178.2, 4195.4]"
3091-FYHKI,Harbor City,Male,0,0,0,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,0-6,"(18.249, 35.588]","(2002.999, 3178.2]"
2372-HWUHI,Lakewood,Male,0,0,0,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,0-6,"(35.588, 70.35]","(2002.999, 3178.2]"
0390-DCFDQ,Los Alamitos,Female,1,1,1,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,0-6,"(70.35, 89.862]","(3178.2, 4195.4]"
4080-OGPJL,San Pedro,Female,0,0,0,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,7-12,"(70.35, 89.862]","(2002.999, 3178.2]"
2135-RXIHG,Carson,Male,0,0,0,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,0-6,"(35.588, 70.35]","(2002.999, 3178.2]"
3874-EQOEP,Long Beach,Male,0,0,1,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,7-12,"(89.862, 118.75]","(2002.999, 3178.2]"
0867-MKZVY,Altadena,Female,0,1,1,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,13-24,"(70.35, 89.862]","(5540.8, 6500.0]"
3376-BMGFE,Monrovia,Female,0,0,1,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes,1,75,4287,Product dissatisfaction,0-6,"(70.35, 89.862]","(4195.4, 4882.6]"
3445-HXXGF,Sierra Madre,Male,1,1,0,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,49+,"(35.588, 70.35]","(4882.6, 5540.8]"
1875-QIVME,Tujunga,Female,0,1,1,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,0-6,"(89.862, 118.75]","(4195.4, 4882.6]"
0691-JVSYA,Pasadena,Female,0,1,0,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,49+,"(89.862, 118.75]","(4195.4, 4882.6]"
2656-FMOKZ,Pasadena,Female,1,0,1,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,13-24,"(70.35, 89.862]","(5540.8, 6500.0]"
2070-FNEXE,Pasadena,Female,1,0,1,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,7-12,"(70.35, 89.862]","(4195.4, 4882.6]"
6317-YPKDH,Glendale,Female,0,0,0,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,0-6,"(18.249, 35.588]","(4195.4, 4882.6]"
9367-WXLCH,Glendale,Male,0,0,1,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,7-12,"(70.35, 89.862]","(2002.999, 3178.2]"
1918-ZBFQJ,Glendale,Female,0,0,1,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,13-24,"(70.35, 89.862]","(4882.6, 5540.8]"
1024-GUALD,Glendale,Female,0,1,0,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,0-6,"(18.249, 35.588]","(4195.4, 4882.6]"
2472-OVKUP,Canoga Park,Male,0,1,1,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,Yes,1,94,2283,Service dissatisfaction,0-6,"(89.862, 118.75]","(2002.999, 3178.2]"
1285-OKIPP,Mission Hills,Male,0,0,1,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,0-6,"(70.35, 89.862]","(3178.2, 4195.4]"
7825-ECJRF,Santa Clarita,Female,0,0,1,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,13-24,"(89.862, 118.75]","(3178.2, 4195.4]"
7841-TZDMQ,Sun Valley,Male,0,0,0,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,76,2667,Don't know,0-6,"(35.588, 70.35]","(2002.999, 3178.2]"
9408-SSNVZ,Stevenson Ranch,Female,0,0,1,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,0-6,"(35.588, 70.35]","(2002.999, 3178.2]"
0742-MOABM,Panorama City,Male,0,1,0,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,0-6,"(35.588, 70.35]","(3178.2, 4195.4]"
2232-DMLXU,Van Nuys,Female,0,1,0,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,0-6,"(35.588, 70.35]","(3178.2, 4195.4]"
8937-RDTHP,Burbank,Male,0,0,1,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,0-6,"(70.35, 89.862]","(2002.999, 3178.2]"
1251-KRREG,North Hollywood,Male,0,0,0,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,0-6,"(35.588, 70.35]","(2002.999, 3178.2]"
0094-OIFMO,North Hollywood,Female,1,0,1,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,7-12,"(89.862, 118.75]","(5540.8, 6500.0]"
9947-OTFQU,Covina,Male,1,0,0,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,13-24,"(70.35, 89.862]","(4195.4, 4882.6]"
0322-YINQP,Covina,Male,0,0,0,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,0-6,"(35.588, 70.35]","(5540.8, 6500.0]"
4629-NRXKX,El Monte,Female,0,1,0,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,75,5687,Network reliability,0-6,"(70.35, 89.862]","(5540.8, 6500.0]"
9514-JDSKI,El Monte,Male,1,1,0,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services,0-6,"(35.588, 70.35]","(5540.8, 6500.0]"
4959-JOSRX,La Puente,Female,0,1,0,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed,0-6,"(35.588, 70.35]","(4882.6, 5540.8]"
7273-TEFQD,La Puente,Male,1,0,0,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,0-6,"(35.588, 70.35]","(2002.999, 3178.2]"
3606-TWKGI,Rowland Heights,Male,1,0,0,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges,13-24,"(89.862, 118.75]","(2002.999, 3178.2]"
6323-AYBRX,Ontario,Male,0,0,0,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,83,5084,Price too high,49+,"(18.249, 35.588]","(4882.6, 5540.8]"
4385-GZQXV,Ontario,Female,1,0,0,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,81,3810,Product dissatisfaction,13-24,"(89.862, 118.75]","(3178.2, 4195.4]"
6366-ZGQGL,Pomona,Male,0,0,0,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,73,5087,Service dissatisfaction,0-6,"(18.249, 35.588]","(4882.6, 5540.8]"
5940-AHUHD,Pomona,Male,0,0,0,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,69,3338,Lack of self-service on Website,0-6,"(70.35, 89.862]","(3178.2, 4195.4]"
6432-TWQLB,Rosemead,Male,0,1,0,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,80,3676,Network reliability,0-6,"(70.35, 89.862]","(3178.2, 4195.4]"
4484-GLZOU,San Dimas,Female,0,1,0,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,65,4839,Don't know,49+,"(89.862, 118.75]","(4195.4, 4882.6]"
9512-UIBFX,West Covina,Male,0,1,0,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,1,68,4643,Don't know,13-24,"(89.862, 118.75]","(4195.4, 4882.6]"
5583-SXDAG,Alhambra,Male,0,1,0,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes,1,97,4094,Don't know,0-6,"(35.588, 70.35]","(3178.2, 4195.4]"
3488-PGMQJ,Alpine,Male,1,0,0,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,1,80,4345,Poor expertise of online support,7-12,"(70.35, 89.862]","(4195.4, 4882.6]"
3580-REOAC,Bonita,Male,0,0,0,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,1,83,4061,Poor expertise of phone support,7-12,"(35.588, 70.35]","(3178.2, 4195.4]"
7534-BFESC,Boulevard,Male,1,0,0,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,1,98,2018,Price too high,13-24,"(70.35, 89.862]","(2002.999, 3178.2]"
6390-DSAZX,Guatay,Female,0,0,0,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,1,80,2565,Product dissatisfaction,0-6,"(70.35, 89.862]","(2002.999, 3178.2]"
8098-LLAZX,Jacumba,Female,1,0,0,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,85,3677,Service dissatisfaction,0-6,"(89.862, 118.75]","(3178.2, 4195.4]"
0265-EDXBD,Mount Laguna,Male,1,1,0,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,1,69,4105,Lack of self-service on Website,25-48,"(70.35, 89.862]","(3178.2, 4195.4]"
7563-BIUPC,Borrego Springs,Male,0,0,0,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,1,69,5715,Network reliability,0-6,"(70.35, 89.862]","(5540.8, 6500.0]"
2321-OMBXY,Carlsbad,Female,0,1,0,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,1,81,2071,Limited range of services,25-48,"(70.35, 89.862]","(2002.999, 3178.2]"
2840-XANRC,Del Mar,Male,1,1,0,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,1,73,2212,Lack of affordable download/upload speed,13-24,"(89.862, 118.75]","(2002.999, 3178.2]"
5020-ZSTTY,El Cajon,Female,1,0,0,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes,1,83,4149,Long distance charges,49+,"(70.35, 89.862]","(3178.2, 4195.4]"
5804-LEPIM,Escondido,Female,1,0,0,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,1,73,2671,Extra data charges,0-6,"(35.588, 70.35]","(2002.999, 3178.2]"
0122-OAHPZ,Oceanside,Female,0,0,0,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,1,67,2473,Price too high,7-12,"(70.35, 89.862]","(2002.999, 3178.2]"
2868-SNELZ,Pala,Female,0,0,0,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes,1,92,2683,Product dissatisfaction,0-6,"(70.35, 89.862]","(2002.999, 3178.2]"
4322-RCYMT,Palomar Mountain,Male,0,1,0,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,1,81,4903,Service dissatisfaction,49+,"(70.35, 89.862]","(4882.6, 5540.8]"
6680-NENYN,Pauma Valley,Female,0,0,0,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes,1,91,5250,Lack of self-service on Website,25-48,"(89.862, 118.75]","(4882.6, 5540.8]"
1343-EHPYB,Ranchita,Male,0,1,0,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes,1,98,4352,Network reliability,49+,"(89.862, 118.75]","(4195.4, 4882.6]"
2034-GDRCN,Valley Center,Female,0,0,0,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,1,76,4157,Don't know,0-6,"(89.862, 118.75]","(3178.2, 4195.4]"
0219-YTZUE,San Diego,Male,0,1,0,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,1,73,4939,Don't know,0-6,"(70.35, 89.862]","(4882.6, 5540.8]"
0623-IIHUG,San Diego,Female,1,0,0,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,Yes,1,97,4778,Don't know,13-24,"(35.588, 70.35]","(4195.4, 4882.6]"
4572-DVCGN,San Diego,Female,0,0,0,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,Yes,1,85,3598,Poor expertise of online support,7-12,"(70.35, 89.862]","(3178.2, 4195.4]"
9057-MSWCO,San Diego,Male,1,1,0,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes,1,91,2927,Poor expertise of phone support,25-48,"(18.249, 35.588]","(2002.999, 3178.2]"
1010-DIAUQ,San Diego,Male,0,0,0,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes,1,98,5383,Price too high,0-6,"(89.862, 118.75]","(4882.6, 5540.8]"
0259-GBZSH,San Diego,Male,0,0,0,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,1,73,3878,Product dissatisfaction,0-6,"(70.35, 89.862]","(3178.2, 4195.4]"
9601-BRXPO,San Diego,Female,0,1,0,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes,1,66,3642,Service dissatisfaction,25-48,"(89.862, 118.75]","(3178.2, 4195.4]"
6905-NIQIN,San Diego,Male,0,0,0,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes,1,76,2431,Don't know,0-6,"(35.588, 70.35]","(2002.999, 3178.2]"
5167-ZFFMM,Indio,Male,0,0,0,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,1,81,3424,Network reliability,0-6,"(89.862, 118.75]","(3178.2, 4195.4]"
4895-TMWIR,Indian Wells,Male,1,1,0,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,Yes,1,80,5888,Limited range of services,7-12,"(18.249, 35.588]","(5540.8, 6500.0]"
0533-BNWKF,Palm Desert,Female,1,1,0,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,Yes,1,100,5502,Lack of affordable download/upload speed,49+,"(70.35, 89.862]","(4882.6, 5540.8]"
6599-CEBNN,Desert Hot Springs,Female,0,0,0,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes,1,94,5795,Long distance charges,25-48,"(70.35, 89.862]","(5540.8, 6500.0]"
0979-PHULV,Holtville,Male,0,1,0,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,Yes,1,80,4020,Extra data charges,49+,"(89.862, 118.75]","(3178.2, 4195.4]"
4800-VHZKI,Niland,Female,0,0,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,Yes,1,92,3351,Price too high,0-6,"(18.249, 35.588]","(3178.2, 4195.4]"
